person_id,fir_number,full_name,normalized_name,role,gender,age,phone,address,district,true_identity_id
P0000117,FIR-2026-000051,Isaiah Mital,isaiah mital,Witness,Male,20.0,9215624631,"H.No. 666, Soni Circle, Bangalore 176591",Bengaluru City,TID-Witness-117
P0000118,FIR-2023-000052,GIRIK BISWAS,biswas girik,Accused,Male,47.0,9180943908,"974, Borde Nagar, Tinsukia 250392",Mysuru,TID0082
P0000119,FIR-2023-000052,Balvan Mistry,balvan mistry,Victim,Male,56.0,9777395712,"68/56, Brar Street, Meerut-631599",Bengaluru City,TID-Victim-119
P0000120,FIR-2024-000053,Nihal Balan,balan nihal,Accused,Male,21.0,9635503487,"35, Prashad Circle, Gaya 194311",Yadgir,TID-OneOff-120
P0000121,FIR-2024-000053,Faraj Rai,faraj rai,Accused,Male,59.0,9878793986,"H.No. 51, Ahluwalia Zila, Raiganj-412126",Yadgir,TID-OneOff-121
P0000122,FIR-2024-000053,Yashvi Reddy,reddy yashvi,Complainant,Female,59.0,9142528200,"H.No. 581, Nair, Ahmedabad 661839",Yadgir,TID-Victim-122
P0000123,FIR-2025-000054,Ranveer Gara,gara ranveer,Accused,Male,33.0,9750527812,"H.No. 47, Bhatnagar Street, Raebareli-647154",Hubballi-Dharwad,TID-OneOff-123
P0000124,FIR-2025-000054,Yug Hayre,hayre yug,Accused,Male,58.0,9938902595,,Hubballi-Dharwad,TID-OneOff-124
P0000125,FIR-2025-000054,Damyanti Deshmukh,damyanti deshmukh,Victim,Female,48.0,9642553751,"59, Narayan Marg, Thanjavur 924593",Hubballi-Dharwad,TID-Victim-125
P0000126,FIR-2026-000055,Naksh Goel,goel naksh,Accused,Male,43.0,,"H.No. 79, Nanda Ganj, Parbhani-519398",Bengaluru City,TID-OneOff-126
P0000127,FIR-2026-000055,Amara Shenoy,amara shenoy,Victim,Female,55.0,9141690057,"H.No. 16, Dewan Chowk, New Delhi-266179",Bengaluru City,TID-Victim-127
P0000128,FIR-2026-000055,Sai Warrior,sai warrior,Witness,Male,,9374081636,"H.No. 89, Chopra Zila, Raichur-909656",Bengaluru City,TID-Witness-128
P0000129,FIR-2023-000056,Akshay D.,akshay d,Accused,Male,19.0,9147337803,"H.No. 438, Kant Circle, Dindigul 798250",Mysuru,TID0122
P0000130,FIR-2023-000056,Charles Merchant,charles merchant,Complainant,Male,28.0,9371518421,"H.No. 254, Shah Path, Saharsa-571775",Bengaluru Rural,TID-Victim-130
P0000131,FIR-2024-000057,Mason Basu,basu mason,Accused,Male,50.0,,"H.No. 12, Varty Ganj, Suryapet 586736",Ramanagara,TID-OneOff-131
P0000132,FIR-2024-000057,Girik Sankaran,girik sankaran,Complainant,Male,65.0,9915146872,"93/796, Agrawal Marg, Tiruppur-191825",Ramanagara,TID-Victim-132
P0000133,FIR-2025-000058,Guneet Shankar,guneet shankar,Accused,Male,18.0,9947404741,"78/596, Ramanathan, Karnal 792499",Raichur,TID-OneOff-133
P0000134,FIR-2025-000058,Ekalinga Munshi,ekalinga munshi,Complainant,Male,18.0,9658425333,"H.No. 12, Dhaliwal Path, Gurgaon 966278",Raichur,TID-Victim-134
P0000135,FIR-2026-000059,Geetika Suri,geetika suri,Accused,Female,51.0,9850829666,"579, Parmer Nagar, Shivpuri 368876",Koppal,TID-OneOff-135
P0000136,FIR-2026-000059,Sarthak Sawhney,sarthak sawhney,Victim,Male,61.0,9610241500,"H.No. 903, Bali Road, Kamarhati-279788",Koppal,TID-Victim-136
P0000137,FIR-2023-000060,Dakshesh Loyal,dakshesh loyal,Accused,Male,37.0,,"78/361, Mishra Ganj, Hospet 517133",Bengaluru City,TID-OneOff-137
P0000138,FIR-2023-000060,Upadhriti Gandhi,gandhi upadhriti,Complainant,Female,25.0,9680537748,"095, Mand Circle, North Dumdum-494812",Bengaluru City,TID-Victim-138
P0000139,FIR-2024-000061,Bhanumati Malhotra,bhanumati malhotra,Accused,Female,49.0,9842798005,"253, Suri Marg, Gangtok-667116",Koppal,TID-OneOff-139
P0000140,FIR-2024-000061,Qarin Sha,qarin sha,Complainant,Male,42.0,,"01/75, Warrior Zila, Bellary-374545",Koppal,TID-Victim-140
P0000141,FIR-2025-000062,Lopa Kanda,kanda lopa,Accused,Female,42.0,,,Bengaluru Rural,TID0022
P0000142,FIR-2025-000062,Watika Oza,oza watika,Accused,Female,32.0,9109866101,"H.No. 701, Sastry Street, Mumbai 324241",Mysuru,TID-OneOff-142
P0000143,FIR-2025-000062,Ladli Butala,butala ladli,Complainant,Female,47.0,9404290729,,Mysuru,TID-Victim-143
P0000144,FIR-2026-000063,Gayathri Ben,ben gayathri,Accused,Female,29.0,,"36/110, Sood Ganj, Mira-Bhayandar-870051",Bengaluru City,TID-OneOff-144
P0000145,FIR-2026-000063,Ekaja Sridhar,ekaja sridhar,Complainant,Female,53.0,9553588778,"11, Munshi Zila, Dewas 622189",Bengaluru City,TID-Victim-145
P0000146,FIR-2023-000064,Gayathri Sarraf,gayathri sarraf,Accused,Female,26.0,9618017848,"26/973, Chaudhry Zila, Amravati 565234",Bagalkote,TID-OneOff-146
P0000147,FIR-2023-000064,Jeet Mane,jeet mane,Complainant,Male,65.0,9799261476,,Bagalkote,TID-Victim-147
P0000148,FIR-2024-000065,Hredhaan Toora,hredhaan toora,Accused,Male,22.0,,"898, Ramanathan Ganj, Meerut 761379",Udupi,TID0091
P0000149,FIR-2024-000065,Abeer Patel,abeer patel,Victim,Male,59.0,9778962940,"96, Gera Path, Srinagar 910430",Bengaluru City,TID-Victim-149
P0000150,FIR-2025-000066,Sneha Toor,sneha toor,Accused,Female,29.0,,"61, Yogi Circle, Alwar 418328",Hubballi-Dharwad,TID-OneOff-150
P0000151,FIR-2025-000066,Rohan Bhatti,bhatti rohan,Victim,Male,25.0,9717488556,"30/316, Setty Zila, Tirupati 102027",Hubballi-Dharwad,TID-Victim-151
P0000152,FIR-2025-000066,Yutika Varughese,varughese yutika,Witness,Female,20.0,9233913984,"H.No. 24, Balan Zila, Haldia 814917",Hubballi-Dharwad,TID-Witness-152
P0000153,FIR-2026-000067,Alexander C.,alexander c,Accused,Male,46.0,,"H.No. 792, Dugar Path, Kota-380003",Shivamogga,TID0003
P0000154,FIR-2026-000067,Warinder Patla,patla warinder,Victim,Male,64.0,9179843077,"086, Nagy Ganj, Erode-419518",Bengaluru City,TID-Victim-154
P0000155,FIR-2023-000068,Gaurav Kapoor,gaurav kapoor,Accused,Male,56.0,9390044760,,Bengaluru City,TID-OneOff-155
P0000156,FIR-2023-000068,Sai Biswas,biswas sai,Victim,Male,,9489574448,"H.No. 51, Shan Circle, Arrah-494937",Bengaluru City,TID-Victim-156
P0000157,FIR-2024-000069,Yatin Hayre,hayre yatin,Accused,Male,35.0,9878913009,"H.No. 603, Pal Circle, Thanjavur-641383",Chikkaballapura,TID-OneOff-157
P0000158,FIR-2024-000069,Xalak Bhasin,bhasin xalak,Complainant,Female,44.0,9296606987,"H.No. 038, Pradhan Marg, Guwahati-826199",Chikkaballapura,TID-Victim-158
P0000159,FIR-2025-000070,Teerth De,de teerth,Accused,Male,18.0,,"H.No. 56, Nadkarni Path, Darbhanga-132912",Kalaburagi,TID-OneOff-159
P0000160,FIR-2025-000070,Gayathri Sengupta,gayathri sengupta,Complainant,Female,60.0,,"18, Johal Path, Aizawl-411249",Kalaburagi,TID-Victim-160
P0000161,FIR-2026-000071,Vivaan Wadhwa,vivaan wadhwa,Accused,Male,27.0,9618751182,"H.No. 21, Parekh Ganj, Anand 442067",Dakshina Kannada,TID0034
P0000162,FIR-2026-000071,Champak Shere,champak shere,Complainant,Male,54.0,9427297760,"H.No. 003, Hora Street, Serampore 994101",Mangaluru,TID-Victim-162
P0000163,FIR-2023-000072,Tristan Dave,dave tristan,Accused,Male,18.0,9805054799,"H.No. 070, Sant Street, Mehsana 662532",Dakshina Kannada,TID-OneOff-163
P0000164,FIR-2023-000072,Meera Sehgal,meera sehgal,Victim,Female,41.0,9295616478,"99/34, Sabharwal Chowk, Ghaziabad-462638",Dakshina Kannada,TID-Victim-164
P0000165,FIR-2024-000073,Aditya Raja,aditya raja,Accused,Male,35.0,9625132584,"75/98, Rama Path, Bokaro 593040",Belagavi,TID-OneOff-165
P0000166,FIR-2024-000073,Praneel Kaul,kaul praneel,Victim,Male,67.0,,"348, Kanda Nagar, Raichur-239559",Belagavi,TID-Victim-166
P0000167,FIR-2025-000074,Akshay D’Alia,akshay alia d,Accused,Male,19.0,9147337803,"92/93, More Chowk, Pallavaram 103930",Mysuru,TID0122
P0000168,FIR-2025-000074,Aadi Narula,aadi narula,Victim,Male,69.0,9884321926,"H.No. 25, Bains Nagar, Dharmavaram-185156",Bengaluru Rural,TID-Victim-168
