account_id,holder_name,bank,district,is_mule
ACC000320,Jai Madan,HDFC Bank,Bengaluru City,true
ACC000321,Zaitra De,IDBI Bank,Bengaluru City,false
ACC000322,Anvi Trivedi,Axis Bank,Udupi,false
ACC000323,Samarth N.,Canara Bank,Yadgir,false
ACC000324,Vedant Dada,PNB,Bengaluru City,false
ACC000325,Riya Maharaj,Union Bank,Chikkamagaluru,false
ACC000326,Leela Brahmbhatt,Yes Bank,Bengaluru City,false
ACC000327,Dalaja Manda,Axis Bank,Bengaluru City,true
ACC000328,Advik Nagy,Yes Bank,Bengaluru Rural,false
ACC000329,Advay Nadkarni,Bank of Baroda,Bengaluru City,true
ACC000330,Owen Chaudhuri,PNB,Bengaluru City,true
ACC000331,Januja Date,ICICI Bank,Bidar,false
ACC000332,Warinder Sachdev,ICICI Bank,Dakshina Kannada,false
ACC000333,Oviya Devan,HDFC Bank,Bengaluru City,false
ACC000334,Jalsa Chada,Axis Bank,Bengaluru City,false
ACC000335,Darsh Ramakrishnan,PNB,Kalaburagi,false
ACC000336,Orinder Kala,Karnataka Bank,Bengaluru City,false
ACC000337,Aarnav Palla,SBI,Bagalkote,false
ACC000338,Dhruv Varghese,SBI,Bengaluru City,false
ACC000339,Vedant Dass,Yes Bank,Chikkamagaluru,false
ACC000340,Sneha Boase,Union Bank,Chikkaballapura,false
ACC000341,Nitesh Nagar,Union Bank,Bengaluru City,true
ACC000342,Amruta Chokshi,IDBI Bank,Bengaluru City,false
ACC000343,Balvan Koshy,Canara Bank,Bengaluru Rural,false
ACC000344,Amruta Pant,PNB,Bengaluru City,false
ACC000345,R. Sampath,Canara Bank,Hassan,false
ACC000346,Y. Ratta,Bank of Baroda,Bengaluru City,false
ACC000347,Meghana Boase,Kotak Mahindra,Bengaluru City,false
ACC000348,Harsh Varty,HDFC Bank,Bengaluru City,false
ACC000349,Rudra Raghavan,Karnataka Bank,Bengaluru City,false
ACC000350,Nachiket Rastogi,Bank of Baroda,Bengaluru City,false
ACC000351,Indrajit Ganesh,Kotak Mahindra,Yadgir,false
ACC000352,Vasudha  Chaudhry,Canara Bank,Bengaluru City,false
ACC000353,Champak Panchal,Yes Bank,Bengaluru City,false
ACC000354,Balhaar Mand,Kotak Mahindra,Bengaluru City,true
ACC000355,Omya Goel,Yes Bank,Chitradurga,false
ACC000356,Anvi Dani,PNB,Bengaluru City,false
ACC000357,Aarnav Maharaj,Axis Bank,Gadag,false
ACC000358,Abhiram Deshpande,ICICI Bank,Vijayapura,false
ACC000359,Keya Bora,Union Bank,Hubballi-Dharwad,false
ACC000360,Meera Vora,Kotak Mahindra,Bengaluru City,false
ACC000361,Vidhi Uppal,PNB,Bengaluru City,true
ACC000362,A. Maharaj,PNB,Yadgir,false
ACC000363,Onkar Choudhurya,Karnataka Bank,Udupi,false
ACC000364,U. Raghavan,Bank of Baroda,Bengaluru City,false
ACC000365,Ronith Reddy,Bank of Baroda,Yadgir,false
ACC000366,Mohammed Yohannan,Union Bank,Shivamogga,false
ACC000367,Darsh Barad,PNB,Gadag,false
ACC000368,Dalaja Andra,Yes Bank,Bagalkote,false
ACC000369,Isaac Bahri,Axis Bank,Bengaluru City,true
ACC000370,Krisha Bose,Axis Bank,Bengaluru City,false
ACC000371,Christopher Jha,Kotak Mahindra,Hubballi-Dharwad,false
ACC000372,Owen Hegde,Yes Bank,Bengaluru City,false
ACC000373,Triveni Arya,PNB,Hassan,false
ACC000374,Bimala Batta,Bank of Baroda,Mysuru,false
ACC000375,Nikita Mohanty,HDFC Bank,Bengaluru City,false
ACC000376,Falguni Ramesh,IDBI Bank,Bengaluru City,false
ACC000377,Prisha Borde,Kotak Mahindra,Belagavi,false
ACC000378,Yochana Virk,Union Bank,Bengaluru City,true
ACC000379,Champak Nath,Union Bank,Bengaluru City,false
ACC000380,Yauvani Subramanian,Bank of Baroda,Dakshina Kannada,false
ACC000381,Tripti Oak,IDBI Bank,Mangaluru,false
ACC000382,Reyansh G.,Bank of Baroda,Kolar,false
ACC000383,Orinder Lalla,Union Bank,Bengaluru City,false
ACC000384,Dayita Patila,Axis Bank,Udupi,false
ACC000385,Chandani Dalal,Canara Bank,Bengaluru City,false
ACC000386,Ranveer M.,Yes Bank,Ballari,false
ACC000387,Ojasvi Mohanty,SBI,Bengaluru City,true
ACC000388,Lucky Om,Kotak Mahindra,Ramanagara,false
ACC000389,Ayaan Zachariah,Union Bank,Bengaluru City,false
ACC000390,Hritik Raghavan,SBI,Belagavi,false
ACC000391,Rehaan Parmar,Yes Bank,Shivamogga,false
ACC000392,Jatin Gupta,Yes Bank,Tumakuru,false
ACC000393,Urvi Wagle,Karnataka Bank,Bengaluru City,false
ACC000394,Suhani Nagar,Axis Bank,Bengaluru City,true
ACC000395,Nimrat Kadakia,Yes Bank,Bengaluru City,false
ACC000396,Nidhi Gupta,Yes Bank,Bengaluru City,false
ACC000397,Kamala Tandon,HDFC Bank,Bengaluru City,false
ACC000398,Chavvi Johal,HDFC Bank,Ramanagara,false
ACC000399,Sneha Goda,Yes Bank,Chikkamagaluru,false
ACC000400,Falan Dugar,IDBI Bank,Chamarajanagar,false
ACC000401,Aashi Sunder,Kotak Mahindra,Hassan,false
ACC000402,Nirja Tella,Bank of Baroda,Chamarajanagar,false
ACC000403,Harinakshi Parmer,HDFC Bank,Bagalkote,false
ACC000404,Vivaan Walla,SBI,Chikkamagaluru,false
ACC000405,Zansi Acharya,Union Bank,Bengaluru City,false
ACC000406,Simon Walia,Union Bank,Bengaluru City,false
ACC000407,Ikshita Mody,Yes Bank,Mysuru,false
ACC000408,Vritti Mitra,Union Bank,Davanagere,false
ACC000409,Eta Venkatesh,Union Bank,Shivamogga,false
ACC000410,Vedika Narang,Bank of Baroda,Gadag,false
ACC000411,O. Choudhury,Yes Bank,Tumakuru,false
ACC000412,Manbir Shroff,Canara Bank,Bengaluru City,false
ACC000413,Nihal Mallick,Yes Bank,Shivamogga,false
ACC000414,Jagat Narain,Bank of Baroda,Hubballi-Dharwad,false
ACC000415,Alka Cheema,Union Bank,Bengaluru City,false
ACC000416,Nandini Mani,HDFC Bank,Haveri,false
ACC000417,Jatin Cheema,Axis Bank,Dakshina Kannada,false
ACC000418,Madhav Dixit,Axis Bank,Bengaluru City,false
ACC000419,Banjeet Mahajan,IDBI Bank,Mandya,false
ACC000420,Lila Srinivasan,PNB,Bengaluru City,false
ACC000421,Kabir Tandon,Canara Bank,Bengaluru City,false
ACC000422,Oni Kamdar,IDBI Bank,Koppal,false
ACC000423,Shaurya Virk,Canara Bank,Bengaluru City,false
ACC000424,Oviya Sani,Canara Bank,Koppal,false
ACC000425,Faqid Chaudry,Yes Bank,Udupi,false
ACC000426,Zaid Vohra,Kotak Mahindra,Bengaluru City,false
ACC000427,Vasana Mital,IDBI Bank,Bengaluru City,false
ACC000428,Prisha Karnik,PNB,Bengaluru City,false
ACC000429,Wyatt Mital,Yes Bank,Bengaluru City,false
ACC000430,Upadhriti Pathak,Axis Bank,Kalaburagi,false
ACC000431,Yash Jani,IDBI Bank,Haveri,false
ACC000432,Atharv Goel,Union Bank,Bengaluru City,false
ACC000433,Abhiram Deshmukh,IDBI Bank,Bengaluru City,true
ACC000434,Indira Anand,HDFC Bank,Chitradurga,false
ACC000435,David Verma,Karnataka Bank,Haveri,false
ACC000436,Jack Padmanabhan,PNB,Bengaluru City,false
ACC000437,Anay Merchant,ICICI Bank,Bengaluru City,false
ACC000438,Darpan Sant,ICICI Bank,Koppal,false
ACC000439,Chavvi Prasad,PNB,Bagalkote,false
ACC000440,Kiaan Dutta,ICICI Bank,Bengaluru City,false
ACC000441,Indrajit Sachdev,Yes Bank,Udupi,false
ACC000442,Ekiya Bava,Union Bank,Bengaluru City,false
